time,position,force,mass,a_true
0.0,0.024835707650561634,0.1,0.2,0.5
0.05,0.024845707650561634,0.1,0.2,0.5
0.1,0.03488442690503463,0.1,0.2,0.5
0.15000000000000002,0.08177649282040128,0.1,0.2,0.5
0.2,0.08178649282040128,0.1,0.2,0.5
0.25,0.08179649282040127,0.1,0.2,0.5
0.30000000000000004,0.10146064077536958,0.1,0.2,0.5
0.35000000000000003,0.10147064077536957,0.1,0.2,0.5
0.4,0.10148064077536957,0.1,0.2,0.5
0.45,0.10149064077536957,0.1,0.2,0.5
0.5,0.10150064077536956,0.1,0.2,0.5
0.55,0.10151064077536956,0.1,0.2,0.5
0.6000000000000001,0.10209811357830173,0.1,0.2,0.5
0.65,0.10210811357830173,0.1,0.2,0.5
0.7000000000000001,0.10211811357830172,0.1,0.2,0.5
0.75,0.11251062353795137,0.1,0.2,0.5
0.8,0.11252062353795136,0.1,0.2,0.5
0.8500000000000001,0.19633736662976373,0.1,0.2,0.5
0.9,0.19634736662976374,0.1,0.2,0.5
0.9500000000000001,0.19635736662976375,0.1,0.2,0.5
1.0,0.32328243844607774,0.1,0.2,0.5
1.05,0.32329243844607775,0.1,0.2,0.5
1.1,0.32330243844607776,0.1,0.2,0.5
1.1500000000000001,0.32331243844607777,0.1,0.2,0.5
1.2000000000000002,0.33278086377374094,0.1,0.2,0.5
1.25,0.3961711294854933,0.1,0.2,0.5
1.3,0.39618112948549333,0.1,0.2,0.5
1.35,0.47440990091728363,0.1,0.2,0.5
1.4000000000000001,0.47441990091728364,0.1,0.2,0.5
1.4500000000000002,0.5110403125103363,0.1,0.2,0.5
1.5,0.5324146693885301,0.1,0.2,0.5
1.55,0.693238909225447,0.1,0.2,0.5
1.6,0.6932489092254469,0.1,0.2,0.5
1.6500000000000001,0.6932589092254469,0.1,0.2,0.5
1.7000000000000002,0.7636272456051596,0.1,0.2,0.5
1.75,0.7636372456051596,0.1,0.2,0.5
1.8,0.8204431797502378,0.1,0.2,0.5
1.85,0.8204531797502378,0.1,0.2,0.5
1.9000000000000001,0.8360906975550786,0.1,0.2,0.5
1.9500000000000002,0.9604680617934563,0.1,0.2,0.5
2.0,1.0369233289997706,0.1,0.2,0.5
2.0500000000000003,1.059193414059499,0.1,0.2,0.5
2.1,1.096717585880588,0.1,0.2,0.5
2.15,1.1405698152205355,0.1,0.2,0.5
2.2,1.1405798152205355,0.1,0.2,0.5
2.25,1.2296327895802646,0.1,0.2,0.5
2.3000000000000003,1.2994680614520109,0.1,0.2,0.5
2.35,1.433481111310946,0.1,0.2,0.5
2.4000000000000004,1.4571809144784234,0.1,0.2,0.5
2.45,1.4571909144784234,0.1,0.2,0.5
2.5,1.5787041984697399,0.1,0.2,0.5
2.5500000000000003,1.6063708859791845,0.1,0.2,0.5
2.6,1.6561538999847023,0.1,0.2,0.5
2.6500000000000004,1.7862088144420438,0.1,0.2,0.5
2.7,1.8740499761247977,0.1,0.2,0.5
2.75,1.93718900595581,0.1,0.2,0.5
2.8000000000000003,1.93719900595581,0.1,0.2,0.5
2.85,2.0151643812074393,0.1,0.2,0.5
2.9000000000000004,2.1190631715701786,0.1,0.2,0.5
2.95,2.224402256356118,0.1,0.2,0.5
3.0,2.2260412881077354,0.1,0.2,0.5
3.0500000000000003,2.3163420511668096,0.1,0.2,0.5
3.1,2.347183251299699,0.1,0.2,0.5
3.1500000000000004,2.420814668795967,0.1,0.2,0.5
3.2,2.60062629111971,0.1,0.2,0.5
3.25,2.7084370014285413,0.1,0.2,0.5
3.3000000000000003,2.718899493920984,0.1,0.2,0.5
3.35,2.8558016448946013,0.1,0.2,0.5
3.4000000000000004,2.9080818012523824,0.1,0.2,0.5
3.45,2.943369012269744,0.1,0.2,0.5
3.5,3.080569780275421,0.1,0.2,0.5
3.5500000000000003,3.227526828323299,0.1,0.2,0.5
3.6,3.238208698044503,0.1,0.2,0.5
3.6500000000000004,3.408857182790701,0.1,0.2,0.5
3.7,3.408867182790701,0.1,0.2,0.5
3.75,3.556720125218761,0.1,0.2,0.5
3.8000000000000003,3.614352353411909,0.1,0.2,0.5
3.85,3.690674632476707,0.1,0.2,0.5
3.9000000000000004,3.807088038826776,0.1,0.2,0.5
3.95,3.807098038826776,0.1,0.2,0.5
0.0,-0.010983594391875597,0.2,0.2,1.0
0.05,0.019105628575587324,0.2,0.2,1.0
0.1,0.07889470223707581,0.2,0.2,1.0
0.15000000000000002,0.07890470223707581,0.2,0.2,1.0
0.2,0.0789147022370758,0.2,0.2,1.0
0.25,0.0789247022370758,0.2,0.2,1.0
0.30000000000000004,0.09077010588510373,0.2,0.2,1.0
0.35000000000000003,0.09078010588510373,0.2,0.2,1.0
0.4,0.09079010588510372,0.2,0.2,1.0
0.45,0.12691337165566782,0.2,0.2,1.0
0.5,0.129853877467402,0.2,0.2,1.0
0.55,0.19968224952664448,0.2,0.2,1.0
0.6000000000000001,0.1996922495266445,0.2,0.2,1.0
0.65,0.1997022495266445,0.2,0.2,1.0
0.7000000000000001,0.22539459234339215,0.2,0.2,1.0
0.75,0.22540459234339216,0.2,0.2,1.0
0.8,0.3348060138532289,0.2,0.2,1.0
0.8500000000000001,0.37430276360899456,0.2,0.2,1.0
0.9,0.40525567283212305,0.2,0.2,1.0
0.9500000000000001,0.4395206433312427,0.2,0.2,1.0
1.0,0.4395306433312427,0.2,0.2,1.0
1.05,0.5302177338617321,0.2,0.2,1.0
1.1,0.5878642741736616,0.2,0.2,1.0
1.1500000000000001,0.6211361365389192,0.2,0.2,1.0
